Submodule,Test ID,Test Scenario,Pre-conditions,Test Steps,Expected Result,Actual Result,Status,Bug Description,Priority,Fix Status
Dashboard,DASH-001,Verify dashboard page loads correctly,User logged in with HRM access,"1. Navigate to HRM Dashboard
2. Wait for page to load completely","Dashboard displays with stats cards, pending tasks, recent activities","Dashboard loads with Payroll Summary, Team Attendance, Pending Approvals, Pending Reviews widgets",Pass,,,
Dashboard,DASH-002,Verify stats cards show accurate counts,Data exists in system,"1. Note counts on dashboard
2. Cross-verify with individual module counts",Stats match actual data in database,"Total Payroll: 0, Processed: 0, Pending: 0 - all displaying correctly",Pass,,,
Dashboard,DASH-003,Verify quick action buttons work,User has required permissions,"1. Click each quick action button
2. Verify navigation works",Each button navigates to correct module,Manage Payroll button navigates to /hrm/payroll correctly,Pass,,,
Dashboard,DASH-004,Verify responsive layout on mobile,"Logged in, mobile viewport","1. Resize browser to mobile width
2. Check layout adaptation",Layout adapts without broken elements,,Not Started,,,
Dashboard,DASH-005,Verify pending approvals widget,Pending leave/expense requests exist,"1. View pending approvals section
2. Click on pending item",Pending items display and are clickable,"Widget loads correctly showing 0 Pending, 0 Approved, 0 Rejected counts",Pass,,BUG-004 Fixed,
Employee Management,EMP-001,Verify employee list page loads,Logged in with employee view permission,"1. Navigate to Employees
2. Wait for page load","Employee list displays with table, filters, pagination","10 employees displayed with 8 stat cards, table with all columns, pagination working",Pass,,,
Employee Management,EMP-002,Verify employee search functionality,Employees exist in system,"1. Type employee name in search
2. Press Enter or wait for debounce",Filtered results show matching employees,"Search 'John' filtered to 2 results (John Smith, Sarah Johnson)",Pass,,,
Employee Management,EMP-003,Verify create new employee,User has create permission,"1. Click Add Employee button
2. Fill all required fields
3. Submit form","New employee created, success toast shown",,Not Started,,,
Employee Management,EMP-004,Verify edit employee details,Employee exists,"1. Click edit on existing employee
2. Modify fields
3. Save changes","Employee updated, changes reflected",Submit failed with Ziggy error: route 'profile.update' not in route list,Failed,Profile update route missing in Ziggy route list,High,Fixed (Pending Retest)
Employee Management,EMP-005,Verify delete employee,Employee exists with no dependencies,"1. Click delete on employee
2. Confirm deletion","Employee soft-deleted, removed from list",,Not Started,,,
